diffresult,id,number,street,unit,lon,lat,city,postcode,region,accuracy
+,GAVIC721699523,31,QUEENS LANE,UNIT 306,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GANSW718460419,32A,KINGS AVENUE,,151.41259269,-33.44264526,TERRIGAL,2260,NSW,2
+,GANSW718460419,32A-A,KINGS AVENUE,,151.41259269,-33.44264526,TERRIGAL,2260,NSW,2
-,GAVIC721710946,31,QUEENS LANE,UNIT 101,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721710946,31,QUEENS LANE,UNIT 101,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721699438,31,QUEENS LANE,UNIT 1301,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721699438,31,QUEENS LANE,UNIT 1301,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721706091,31,QUEENS LANE,UNIT 701,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721706091,31,QUEENS LANE,UNIT 701,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721698961,31,QUEENS LANE,UNIT 1105,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721698961,31,QUEENS LANE,UNIT 1105,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721709957,31,QUEENS LANE,UNIT 705,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721709957,31,QUEENS LANE,UNIT 705,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721710147,31,QUEENS LANE,UNIT 503,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721710147,31,QUEENS LANE,UNIT 503,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721715196,31,QUEENS LANE,,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721715196,31,QUEENS LANE,,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721707694,31,QUEENS LANE,UNIT 409,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721707694,31,QUEENS LANE,UNIT 409,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC721710226,31,QUEENS LANE,UNIT 601,144.97586415,-37.84307868,MELBOURNE,3000,VIC,2
+,GAVIC721710226,31,QUEENS LANE,UNIT 601,144.97586415,-37.84307868,MELBOURNE,3004,VIC,2
-,GAVIC412738222,1,SWAN STREET,,144.98895318,-37.82457130,MELBOURNE,3004,VIC,4
+,GAVIC412738222,1,SWAN STREET,,144.98895318,-37.82457130,MELBOURNE,3000,VIC,4
-,GAVIC424477608,1,SWAN STREET,,144.98895318,-37.82457130,MELBOURNE,3004,VIC,4
+,GAVIC424477608,1,SWAN STREET,,144.98895318,-37.82457130,MELBOURNE,3000,VIC,4
-,GAVIC420465249,313,PUNT ROAD,,144.98788372,-37.82984941,MELBOURNE,3004,VIC,4
+,GAVIC420465249,313,PUNT ROAD,,144.98788372,-37.82984941,MELBOURNE,3000,VIC,4
-,GANT_721347046,LOT 326,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,0822,NT,4
+,GANT_721347046,LOT 326,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,,NT,4
-,GAQLD425144582,63A,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144582,63A,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GANSW718463046,6A,NORTH SCENIC ROAD,,151.46769995,-33.40773744,FORRESTERS BEACH,2260,NSW,2
