diffresult,id,number,street,unit,lon,lat,city,postcode,region,accuracy
+,GANSW718456372,10B-B,COMO PARADE,,151.34921900,-33.52821395,PRETTY BEACH,2257,NSW,2
-,GANSW718465164,119A,SCENIC HIGHWAY,,151.44009358,-33.45129779,TERRIGAL,2260,NSW,2
+,GANSW718465164,119A-A,SCENIC HIGHWAY,,151.44009358,-33.45129779,TERRIGAL,2260,NSW,2
-,GANSW718465165,121A,SCENIC HIGHWAY,,151.43987156,-33.45122357,TERRIGAL,2260,NSW,2
+,GANSW718465165,121A-A,SCENIC HIGHWAY,,151.43987156,-33.45122357,TERRIGAL,2260,NSW,2
-,GANSW718459743,16A,HILLCREST STREET,,151.43620596,-33.44372868,TERRIGAL,2260,NSW,2
+,GANSW718459743,16A-A,HILLCREST STREET,,151.43620596,-33.44372868,TERRIGAL,2260,NSW,2
-,GAWA_148010740,14B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148010740,14B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148032902,14A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148032902,14A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148033815,17,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148033815,17,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718464928,91A,ROSELLA ROAD,,151.36184181,-33.49976902,EMPIRE BAY,2257,NSW,2
+,GANSW718464928,91A-A,ROSELLA ROAD,,151.36184181,-33.49976902,EMPIRE BAY,2257,NSW,2
-,GANSW718455001,252A,BOOKER BAY ROAD,,151.34813952,-33.51578894,BOOKER BAY,2257,NSW,2
+,GANSW718455001,252A-A,BOOKER BAY ROAD,,151.34813952,-33.51578894,BOOKER BAY,2257,NSW,2
-,GANSW718454876,16A,BERRYS HEAD ROAD,,151.34821091,-33.39656572,WYOMING,2250,NSW,2
+,GANSW718454876,16A-A,BERRYS HEAD ROAD,,151.34821091,-33.39656572,WYOMING,2250,NSW,2
-,GAWA_148014443,22C,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148014443,22C,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148029197,25B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148029197,25B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
